,model,store,versions,sale
118,AppleiPhoneXR,拍拍二手自营旗舰店,"{'64G全网通': '3999.00', '128G全网通': '4199.00', '256G全网通': '4699.00'}",1.2
550,iPhone7pluS,焕新二手商品专营店,"{'32G 全网通': '1629.00', '128G 全网通': '1789.00', '32G 全网通 白条6期免息': '1709.00', '32G 全网通 白条12期免息': '1796.00', '128G 全网通 白条6期免息': '1878.00', '128G 全网通 白条12期免息': '1968.00'}",1.1
324,iPhone11全网通绿色全网通64GB,华信通手机专营店,"{'全网通 64GB': '5199.00', '全网通 128GB': '5688.00', '全网通 256GB': '6618.00'}",1.1
530,创星X5,和英科技手机专营店,{'': '489.00'},1.1
528,iPhone11,泰业优品二手手机旗舰店,"{'64G 全网通『赠全新苹果充电器』': '4899.00', '128G 全网通『赠全新苹果充电器』': '5399.00', '256G 全网通『赠全新苹果充电器』': '6199.00', '6期免息白条分期0首付『64G』': '5299.00', '6期免息白条分期0首付『128G』': '5799.00'}",1.1
256,ROGROG游戏2,佳沪手机旗舰店,"{'精英版8GB+128GB': '3349.00', '经典版12GB+512GB': '5945.00', '至尊版12GB+1T': '7979.00'}",1.1
435,荣耀9XPro,新松联手机旗舰店,"{'全网通 8GB+256GB': '1938.00', '全网通 8GB+128GB': '1999.00', '全网通 8GB+256GB 智能AI音箱套装': '2199.00'}",1.1
392,iPhone11全网通绿色全网通64GB,华信通手机专营店,"{'全网通 64GB': '5199.00', '全网通 128GB': '5688.00', '全网通 256GB': '6618.00'}",1.1
309,荣耀20i,佳沪手机旗舰店,{'': '999.00'},1.1
579,华为nova5i后置AI四摄极点全面屏前置2400万高清摄像头全网通4G苏音蓝8GB+128GB（白条免息+多重豪礼）,严集手机旗舰店,"{'6GB+128GB（白条免息+多重豪礼）': '1799.00', '8GB+128GB（白条免息+多重豪礼）': '1999.00'}",1.1
524,华为P30Pro,头号卖家旗舰店,"{'全网通8+128G【减300】': '4488.00', '全网通8+256G【减300】': '4988.00', '全网通8+512G【减300】': '5788.00'}",1.1
336,iPhone11全网通绿色全网通64GB,华信通手机专营店,"{'全网通 64GB': '5199.00', '全网通 128GB': '5688.00', '全网通 256GB': '6618.00'}",1.1
314,华为官方直供新品亮黑色8+128GB全网通,臻火旗舰店,"{'8+128GB全网通': '4999.00', '8+256GB全网通': '5499.00'}",1.0
319,iPhone7,焕新二手商品专营店,"{'32G 全网通': '1039.00', '128G 全网通': '1359.00', '32G 全网通 白条6期免息': '1089.00', '32G 全网通 白条12期免息': '1146.00', '128G 全网通 白条6期免息': '1429.00', '128G 全网通 白条12期免息': '1496.00'}",1.0
397,华为Nova5Pro,头号卖家旗舰店,"{'全网通8GB+256GB【减200/2699起】': '2899.00', '全网通8GB+128GB【减200/2299起】': '2499.00'}",1.0
428,vivovivoiQOONeo855,vivo兰珊专卖店,"{'8GB 256GB': '2698.00', '6GB 64GB': '1998.00', '6GB 128GB': '2298.00', '8GB 128GB': '2498.00'}",1.0
128,华为Mate30Pro,久汇通官方旗舰店,"{'全网通（8G+128G）5G版': '6399.00', '全网通（8G+256G）5G版': '6899.00', '全网通（8G+512G）5G版': '7899.00', '全网通（8G+128G）4G版': '5799.00', '全网通（8G+256G）4G版': '6299.00', '全网通（8G+128G）5G版+1年碎屏险': '6599.00', '全网通（8G+256G）5G版+1年碎屏险': '7099.00', '全网通（8G+512G）5G版+1年碎屏险': '8099.00', '全网通（8G+128G）4G版+1年碎屏险': '5969.00', '全网通（8G+256G）4G版+1年碎屏险': '6469.00'}",1.0
331,iPhone7,焕新二手商品专营店,"{'32G 全网通': '1039.00', '128G 全网通': '1359.00', '32G 全网通 白条6期免息': '1089.00', '32G 全网通 白条12期免息': '1146.00', '128G 全网通 白条6期免息': '1429.00', '128G 全网通 白条12期免息': '1496.00'}",1.0
342,华为Nova5Pro,头号卖家旗舰店,"{'全网通8GB+256GB【减200/2699起】': '2899.00', '全网通8GB+128GB【减200/2299起】': '2499.00'}",1.0
484,华为畅享9S,众盛手机专营店,{'': '969.00'},1.0
454,荣耀8X,众盛手机专营店,"{'(4G RAM+64G ROM)': '899.00', '(6GB RAM+128GB ROM)': '1289.00', '(6G RAM+64G ROM)': '1089.00', '(4G RAM+128G ROM)': '1099.00'}",1.0
69,iPhone11,迪信通官方旗舰店,"{'64GB': '5299.00', '256GB': '6699.00', '128GB': '5799.00'}",1.0
521,红米红米note8梦幻蓝6+128G全网通,京铠玄手机旗舰店,"{'6+64G 全网通': '1056.00', '6+128G 全网通': '1128.00', '4+64G 全网通': '978.00'}",0.9
