model,store,versions,sale
Xiaomi/小米 Redmi Note8 Pro,小米官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00'}",1441
Apple/苹果 iPhone 11,苏宁易购官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",1440
Apple/苹果 iPhone 11 Pro Max ,,"{'64GB': '5499.00 - 13799.00', '128GB': '5499.00 - 13799.00', '256GB': '5499.00 - 13799.00', '512GB': '5499.00 - 13799.00'}",1436
,百度网盘旗舰店,{},1428
honor/荣耀 荣耀9X PRO,荣耀官方旗舰店,"{'8+128GB': '1999.00', '8+256GB': '2199.00'}",1426
vivo iQOO Pro,vivo官方旗舰店,"{'8GB+128GB': '2898.00', '12GB+128GB': '3198.00'}",1422
Philips/飞利浦 E109C,华晖数码专营店,{'32MB': '89.00'},1406
Apple/苹果 iPhone 8,苏宁易购官方旗舰店,{'64GB': '3488.00'},1384
HUAWEI HUAWEI P30 PRO,苏宁易购官方旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00'}",1381
BIRD/波导 A520C,波导七星级专卖店,{'32MB': '158.00'},1380
索爱 SA-Z6,索爱数码旗舰店,{'32MB': '229.00'},1380
,福禄网游数卡专营店,{},1329
Nokia/诺基亚 600,数码科技123q,{'32MB': '139.00 - 165.00'},1328
honor/荣耀 荣耀20i,苏宁易购官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1399.00'}",1309
ABLonG/爱宝隆 ,,"{'64GB': '2700.00 - 4100.00', '256GB': '2700.00 - 4100.00'}",1307
HUAWEI 畅享9,小淘器数码专营店,"{'3+32GB': '779.00', '4+64GB': '999.00', '4+128GB': '1199.00'}",1297
HUAWEI 畅享9,蓝港数码专营店,"{'3+32GB': '799.00', '4+64GB': '999.00', '4+128GB': '1199.00'}",1293
HUAWEI nova 5 Pro ,深圳远望数码手机,"{'128GB': '5', '256GB': '5'}",1282
K-Touch/天语 R7C,天语强宇专卖店,{'256MB': '99.00'},1278
HUAWEI HUAWEI Mate 30 5G,苏宁易购官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",1267
Apple/苹果 iPhone XR ,,"{'64GB': '1800.00 - 5400.00', '128GB': '1800.00 - 5400.00', '256GB': '1800.00 - 5400.00'}",1262
honor/荣耀 荣耀10青春版,苏宁易购官方旗舰店,{'6+64GB': '1099.00'},1261
纽曼 F6,金辉天成数码专营店,{'32MB': '119.00'},1246
HUAWEI HUAWEI mate 30 pro ,国货平价网,"{'128GB': '3288.00 - 9999.00', '256GB': '3288.00 - 9999.00', '512GB': '3288.00 - 9999.00'}",1236
HUAWEI Huawei Mate 30 ,e酷手机网精品店,"{'128GB': '3288.00 - 6948.00', '256GB': '3288.00 - 6948.00', '512GB': '3288.00 - 6948.00'}",1236
DOOV/朵唯 D520,朵唯深圳专卖店,{'128MB': '138.00'},1231
纽曼 L99S,纽曼易为理想专卖店,{'64MB': '69.00'},1225
Xiaomi/小米 Redmi 8A ,松达汇手机,"{'16GB': '550.59 - 949.41', '32GB': '550.59 - 949.41', '64GB': '550.59 - 949.41'}",1217
Xiaomi/小米 Redmi K30,苏宁易购官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",1216
Nokia/诺基亚 新106,哥小哥数码专营店,{'4MB': '129.00'},1215
Xiaomi/小米 小米9,广东电信亿品汇专卖店,{'8+256GB': '3399.00'},1207
Apple/苹果 iPhone X ,,"{'64GB': '4200.00 - 6080.00', '256GB': '4200.00 - 6080.00'}",1187
LGRAVER ,亿添富数码广场,"{'4GB': '376.00 - 465.00', '64MB': '376.00 - 465.00'}",1187
OPPO Reno2,OPPO官方旗舰店,{'8+128GB': '2999.00'},1184
honor/荣耀 荣耀V20,三际数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '2399.00'}",1182
honor/荣耀 荣耀9x ,白开水数码,{'128GB': '1458.00'},1182
Apple/苹果 iPhone 11,三际数码官方旗舰店,"{'64GB': '5288.00', '128GB': '5858.00', '256GB': '6688.00'}",1176
nubia/努比亚 NX629J ,叮当数码手机,{'128GB': '2809.00'},1169
纽曼 S9,纽曼幸福专卖店,{'256MB': '158.00'},1167
Apple/苹果 iPhone 8 ,正品全面屏手机店,{'256GB': '2550.00'},1166
VDVD ,三家家数码店,"{'16GB': '358.00', '32GB': '428.00', '64GB': '468.00'}",1163
vivo Z5,苏宁易购官方旗舰店,"{'8+128GB': '2098.00', '6+128GB': '1598.00'}",1160
Xiaomi/小米 小米CC9 PRO ,深圳远望数码手机,{'128GB': '5'},1156
Apple/苹果 iPhone X ,C位数码科技,"{'64GB': '3450.00', '256GB': '3850.00'}",1147
HUAWEI 华为畅享10 plus,蓝港数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",1143
vivo X27,vivo衡视专卖店,"{'8+256GB': '2798.00', '8+128GB': '2498.00'}",1139
 ,壹加陆科技城,"{'64GB': '3350.00', '256GB': '3750.00'}",1139
HUAWEI 华为畅享10,巨利泰数码专营店,"{'4+64GB': '1199.00', '6+64GB': '1399.00', '4+128GB': '1399.00'}",1127
vivo Z5X,首佳誉数码专营店,"{'6+128GB': '1398.00', '6+64GB': '1298.00'}",1126
Xiaomi/小米 Redmi Note 8,土豪金手机,{'128GB': '1395.00'},1120
 ,智能精品手机店,"{'64GB': '2200.00', '256GB': '2600.00'}",1113
Apple/苹果 iPhone XR ,,"{'64GB': '3619.00', '128GB': '3870.00', '256GB': '3970.00'}",1111
honor/荣耀 荣耀20青春版,京合旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",1109
HUAWEI 畅享9 PLUS,蓝港数码专营店,"{'4+64GB': '1299.00', '4+128GB': '1399.00', '6+128GB': '1699.00'}",1109
Apple/苹果 iPhone 8 Plus ,博粤数码,"{'64GB': '2119.00', '128GB': '2419.00', '256GB': '2469.00'}",1109
HUAWEI HUAWEI P30,苏宁易购官方旗舰店,"{'6+128GB': '3388.00', '8+128GB': '3688.00'}",1101
Apple/苹果 iPhone XR ,七分钟,"{'64GB': '3380.00', '128GB': '3750.00', '256GB': '3880.00'}",1101
纽曼 V7,纯林伟业数码专营店,{'64MB': '95.00'},1096
Apple/苹果 iphone6S,k哥科技,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",1096
Apple/苹果 iPhone XR ,智能精品手机店,"{'64GB': '3500.00', '128GB': '3850.00', '256GB': '3950.00'}",1088
HUAWEI 畅享9,巨利泰数码专营店,"{'3+32GB': '749.00', '4+64GB': '849.00', '4+128GB': '999.00'}",1086
Apple/苹果 iPhone 8 ,东晟手机,"{'64GB': '2120.00', '128GB': '2520.00', '256GB': '2570.00'}",1084
OnePlus/一加 HD1900,一加创华威专卖店,"{'8+128GB': '3079.00', '8+256GB': '3279.00'}",1084
Xiaomi/小米 小米9 pro,叮当数码手机,{'128GB': '3738.00'},1079
Apple/苹果 iPhone 11,中国移动官方旗舰店,"{'128GB': '5888.00', '64GB': '5358.00', '256GB': '6728.00'}",1079
 ,拓展通讯,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",1075
HUAWEI nova 4e,苏宁易购官方旗舰店,{'4+128GB': '1149.00'},1073
创星（手机） Z9,慕尚年华数码专营店,{'64MB': '165.00'},1070
 ,国货平价网,{'128GB': '1298.00'},1059
HUAWEI nova 5 Pro,同步飞扬数码专营店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",1051
honor/荣耀 荣耀9x,蓝港数码专营店,"{'6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00', '4+64GB': '1099.00'}",1048
Changhong/长虹 GA528,网能恒业数码专营店,{'64MB': '168.00'},1045
纽曼 A8(U8),简易生活数码专营店,{'512+4GB': '318.00'},1044
OnePlus/一加 GM1910,一加创华威专卖店,{'8+256GB': '3799.00'},1037
honor/荣耀 荣耀8X,荣耀官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1549.00'}",1029
Xiaomi/小米 Redmi K20 Pro ,明通数码手机,{'256GB': '2298.00'},1028
OnePlus/一加 HD1900,69数码手机,{'256GB': '2749.00'},1028
多亲 多亲手机 1S+,港行先锋数码专营店,{'4GB': '399.00'},1023
OPPO Reno Ace,OPPO平实专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",1022
honor/荣耀 荣耀畅玩8A,苏宁易购官方旗舰店,{'3+32GB': '599.00'},1013
创星（手机） X5,佳佳购数码专营店,"{'3G+32GB': '489.00', '2G+16GB': '399.00'}",1002
vivo iQOO Neo 855竞速版,vivo官方旗舰店,"{'8+128GB': '2598.00', '12+128GB': '2798.00'}",1002
关爱心 G2,关爱心弗瑞尔专卖店,{'256MB': '78.00'},1001
Philips/飞利浦 E163K,苏宁易购官方旗舰店,{'32MB': '115.00'},1000
小辣椒 MINI M1,深圳海创利华数码专营店,"{'2+16GB': '389.00', '2+32GB': '479.00', '3+32GB': '549.00', '3+64GB': '639.00'}",997
小辣椒 K3,纯林伟业数码专营店,"{'256MB': '128.00', '8GB': '158.00', '16GB': '178.00', '32GB': '198.00'}",992
Apple/苹果 iPhone XS Max ,新时尚科技,"{'64GB': '4480.00', '256GB': '4880.00', '512GB': '5900.00'}",988
Apple/苹果 iPhone 11,绿森数码官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",988
Xiaomi/小米 Redmi K20 骁龙 855 ,深圳远望数码手机,{'256GB': '5'},984
HUAWEI nova 5 Pro,同迅数码专营店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",981
SAILF/硕王 S3,硕王益家专卖店,{'32MB': '99.00'},976
OPPO Reno Ace,苏宁易购官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00'}",975
DOOV/朵唯 P9,点点云购数码专营店,"{'4+64GB': '599.00', '6+128GB': '739.00'}",972
Samsung/三星 Galaxy M30s SM-M3070,三星官方旗舰店,{'6+128GB': '1699.00'},969
HUAWEI 2299,,{'128MB': '125.00'},966
honor/荣耀 荣耀9x,博盛景数码专营店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",964
honor/荣耀 荣耀20i,蓝港数码专营店,"{'4+128GB': '1299.00', '6+64GB': '999.00', '6+128GB': '1399.00', '6+256GB': '1799.00'}",957
HUAWEI nova 5 Pro,蓝港数码专营店,"{'8+128GB': '2699.00', '8+256GB': '3099.00'}",956
创星（手机） R9,阿兰贝尔数码专营店,"{'256MB': '228.00', '8GB': '258.00', '16GB': '278.00', '32GB': '298.00'}",953
Samsung/三星 Galaxy S10+ SM-G9750 ,,{'128GB': '3278.00'},951
创星（手机） X5,蒙奇数码专营店,"{'3G+32GB': '469.00', '2+16GB': '399.00'}",949
Coolpad/酷派 1831-A0 酷玩7C 天猫十周年定制版,浩瑜数码专营店,"{'4+64GB': '489.00', '4+128GB': '579.00'}",937
纽曼 N99,紫悦数码专营店,{'32MB': '58.00'},935
HUAWEI HUAWEI Mate 30,苏宁易购官方旗舰店,"{'6+128GB': '3999.00', '8+128GB': '4299.00'}",934
创星（手机） S1C,炜广天成数码专营店,{'4GB': '168.00'},933
Xiaomi/小米 Redmi Note8 Pro,三际数码官方旗舰店,"{'6+64GB': '1299.00', '6+128GB': '1339.00', '8+128GB': '1499.00', '8+256GB': '1699.00'}",929
HUAWEI nova 4e,蓝港数码专营店,"{'4+128GB': '1599.00', '6+128GB': '1799.00'}",927
Apple/苹果 iPhone 11 Pro Max ,,"{'64GB': '6400.00', '256GB': '7500.00', '512GB': '8300.00'}",926
HUAWEI nova 5z ,同步电讯手机卖家,{'64GB': '1398.00'},926
Apple/苹果 iPhone X ,果粉数码3C,"{'64GB': '3600.00', '256GB': '4000.00'}",923
Xiaomi/小米 Redmi K20 Pro 尊享版,小米官方旗舰店,{'12+512GB': '2799.00'},920
VDVD ,鸿鑫数码智能,"{'16GB': '328.00', '32GB': '368.00', '64GB': '408.00', '128GB': '448.00'}",917
坚果 Pro 3,坚果手机旗舰店,"{'8+128GB': '2899.00', '8+256GB': '3199.00'}",917
